,USDA_Food_Name,Calories_kcal,Total_Fat_g,Sodium_mg,Total_Carbohydrate_g,Dietary_Fiber_g,Protein_g,Potassium_mg,Calcium_mg,Iron_mg,Land_Use_Score,Nitrogen_Score,Water_Use_Score,GHG_Emissions_Score,Cluster
0,Cranberry Juice,0.2678260456716217,0.1071745118295694,0.0794480119579615,0.0802330932048111,4.836471046544924e-05,0.166201551423921,0.6737364099834156,0.0733468885166742,0.0458407560807986,96.81449107062144,95.25932089018974,79.07076716056721,25.269390161533277,3
1,Grape Juice,0.1798914219406628,0.11238883170526,0.1014636282324051,0.3594557274392937,0.0053994147523479,0.1536296033875986,0.8371007964619889,0.0477639919351398,0.0673709213056218,98.94782283665246,98.2827322413701,95.23359669231758,95.10739278038953,1
2,Grapefruit Juice,0.2556201399921179,0.0685893139667679,0.1294144362676179,0.0612068634631599,0.8110639750656581,0.1399972742947052,0.2522675620892283,0.0127655702134799,0.0595609241872806,97.9846699459337,90.12214777064581,92.29557664206361,90.29809391636185,1
3,Apple Juice,0.2266326031188656,0.1125968400263428,0.093453709701544,0.159264878435486,0.0005450137100726,0.1619559720611493,0.4989089084990069,0.0692053724025946,0.0676488105782202,85.64982962659985,63.21653186235289,73.13960416429612,97.88700017094327,1
4,Orange Juice,0.2297237956885385,0.1085328527729733,0.0900418368768362,0.0994644551326988,0.062558743774707,0.1317322822657221,0.1061403329170164,0.0278715423618437,0.0608731593060275,98.39240900110552,88.95027820713118,91.00129808111285,74.51151355522737,1
5,Pineapple,0.1959818736723868,0.1203660819859041,0.1385001216791102,0.2924664013555496,0.3403652518382761,0.1440852417912265,0.2707766016256834,0.0295863204502216,0.0638104068598156,96.90704404629697,66.7368030823155,99.4456609810544,98.55946503315032,1
6,Prune Juice,0.1367827686122385,0.1195386659500064,0.0407122901733596,0.4967021209628364,0.0596858214839528,0.1458485874422226,0.0265350832292541,0.0120148215976726,0.0019404966632992,99.35009275765036,97.08099838845638,85.90242617236247,98.23281764771093,1
7,Pomegrenate Juice,0.1982257729570511,0.1165241555242371,0.1012758947383211,0.2696347063651343,0.0972035876958287,0.166201551423921,0.1514301508978112,0.0389280219764594,0.0701755511130204,97.9077265484193,65.14090424965285,51.2608543633205,86.80922866547354,0
8,Tomato Juice,0.2893796598607907,0.11238883170526,1.1948437516886876,0.2354438293958614,0.0456357759277169,0.1262609116407297,0.0597039372658217,0.0477639919351398,0.014784414023143,99.40730497182997,95.94473194877745,96.22290685537415,96.03741629377366,1
9,Butter,0.7534423839705701,2.335352388981943,0.0436999236024513,0.8940337155450373,0.088177436455571,0.1149110499435942,1.1115456276489015,0.0215243040645643,0.0704591597370444,53.77036786191985,53.40842341524018,54.876609570097635,6.09511073508047,3
10,Buttermilk,0.240977111375266,0.0264170639162391,0.5946239994981513,0.2111912177903686,0.6231304283399254,0.0387425214853534,0.1809135767080936,2.692255629903682,0.0753680124222618,96.0211327818988,96.1317012155638,96.23187994013003,90.00843408176344,1
11,Cheddar Cheese,0.6467812600020196,1.569595031845557,2.034086787353255,0.3233920127591172,0.0701382810190685,1.0245239206634085,0.6270346634999283,133.16303757439945,0.0383857147842578,59.396834179378786,59.21765341854061,60.50824368695139,10.894207898843138,2
12,Mozzarella,0.4404448270041911,1.1699508447080011,2.093434636891109,0.2295585745473059,0.044859297253277,1.0744630007787197,0.378698224852071,127.77004626772715,0.0304615419757791,64.29300686771028,64.25364580597312,65.38076250624937,16.82270531163008,2
13,Cottage Cheese,0.1302898987003516,0.1090548006944214,1.4317528107958435,0.2359327074305311,0.0216202818063937,0.0689822535789735,0.3567494523044163,1.8336722129168568,0.0449293762902994,91.70479190690006,91.89620963725162,92.11635079224567,78.52003116282047,1
14,Cream cheese,0.5300569856938783,1.557409269826047,1.5420731624283333,0.2236384783225803,0.0491734132770564,0.0030079309111691,0.3302348436764193,1.574115097725288,0.0792333682990498,75.14806713567532,75.33007263494717,76.08371460662372,36.32147526089315,3
15,Heavy Cream,0.5300569856938783,1.607620619699388,0.0633925768360198,0.2605537918208792,0.0645328901246881,0.0809872400599952,0.4925372125877847,0.4215140665834396,0.0792333682990498,80.65960308251283,80.89500477900711,81.46197605166738,49.25641596870735,3
